,每个人的身上都有苗苗,星巴克试用可重复使用杯子,男子在机场摆渡车上猥亵少女被拘,赵立坚说美方泼中国脏水是想转移视线,张彬彬问龚俊和曾舜晞是什么狗,马思纯不舍米佧,男子做核磁共振被忘在检查舱,鸭舍失火导致一万只活鸭变烤鸭,你是我的城池营垒全员剧透,美团崩了,利路修 从喜欢到恨只有一步,陈小纭回应怼网友,双胞胎学生过斑马线被撞一死一伤,魏大勋摘头套,别轻易尝试黄瓜减肥,Angelababy短发,速度与激情9确认引进,外交部向全球特别推介湖北,好利来称卷入西藏冒险王事件系谣言,刘诗诗生图,不做厚脸皮,好利来,被男友拍成了一只青蛙,陈卓璇评价张雨绮能力普通却自信,备孕者可以接种新冠疫苗,陈建斌蒋勤勤接吻,刘昊然 脉动品牌代言人,沙漠 有机 就是更好有机,视频制作人出道计划,周迅心里话,肖战 满汉大餐是什么,胡歌 9 90 900,杨紫撑起年轻,坦克硬闯潮流发布会,基金人滚雪球日常,来逛糖酒会我都走瘦了,王一博连续六年为汪涵庆生,日本大阪将取消奥运火炬传递活动,山河令演唱会批复,房产税
20,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.0002383516163043664,-9.528165256500465e-05,0.0,1.609497963316389,0.02736896900410657,-0.0003570544162447842,-0.0012811394679858035,0.001141279011442231,0.00036314768082790216,0.0027891115415745737,0.27722987288135603,0.013778576220587757,0.031788086179907804,0.007731051943184575,0.12490034020978036,-0.001371392543890737,0.18268222720521865,0.07323348040691813,0.012859553544527502,0.0009207879270420882,-1.0,-0.05494451948396206,0.0005465350768050214,0.001164068421513731,-0.18251529704664515,0.00030760270294361014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.437738944153507,0.0,0.0
22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-1.0,-0.007424509320794859,0.0,0.011168976542668352,0.016618732060922792,-0.004994786295735132,-0.007599733588088409,0.00987902322631462,-0.0026636577199830036,0.03089471210755268,-0.00224972111752042,0.016767372816580695,0.007050413401677114,-0.01485202059206947,0.03977738737629255,-0.0073540669946902115,-0.03230870091136573,0.021305054395420076,0.036574220600434026,-0.004304442737476766,0.0,0.02808982970798546,-0.00023836820593170494,0.005583885008681122,-0.010390578276671114,0.0005300334060978074,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.009085516078120692,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
